Column,Metric,Score,Error
state,TVComplement,0.6287374035373726,
county_fips,TVComplement,0.015000236399945743,
week,TVComplement,0.2474747624747472,
mask_user_pct,KSComplement,0.0,
mask_mandate,TVComplement,1.9999999545383673e-08,
gop_vote_share_2016,KSComplement,0.0,
deaths_per_10k,KSComplement,0.24242424242424243,
COVID_news,KSComplement,,TypeError: '<' not supported between instances of 'float' and 'str'
retail_visit_per_hundred,KSComplement,0.4949494949494949,
COVID_news_cable,KSComplement,,TypeError: '<' not supported between instances of 'float' and 'str'
urban_population_percentage,KSComplement,0.02510101010101007,
image_users,KSComplement,0.04040404040404044,
mask_users,KSComplement,0.0,
population_density,KSComplement,0.8344444444444444,
week_counter,KSComplement,0.24242424242424243,
week_counter_log,KSComplement,0.24489795918367352,
population,KSComplement,0.06061224489795913,
All,Average Shape,0.2050980067494115,
state and county_fips,ContingencySimilarity,0.014999999999999902,
state and week,ContingencySimilarity,0.2066161616161616,
state and mask_user_pct,ContingencySimilarity,0.04030303030303006,
state and mask_mandate,ContingencySimilarity,0.0,
state and gop_vote_share_2016,ContingencySimilarity,0.15010101010101007,
state and deaths_per_10k,ContingencySimilarity,0.02020202020202011,
state and COVID_news,ContingencySimilarity,,
state and retail_visit_per_hundred,ContingencySimilarity,0.04500000000000004,
state and COVID_news_cable,ContingencySimilarity,,
state and urban_population_percentage,ContingencySimilarity,0.015000000000000013,
state and image_users,ContingencySimilarity,0.10040404040404038,
state and mask_users,ContingencySimilarity,0.11590909090909085,
state and population_density,ContingencySimilarity,0.3468181818181817,
state and week_counter,ContingencySimilarity,0.0,
state and week_counter_log,ContingencySimilarity,1.1102230246251565e-16,
state and population,ContingencySimilarity,0.3923232323232325,
county_fips and week,ContingencySimilarity,0.015000000000000124,
county_fips and mask_user_pct,ContingencySimilarity,1.1102230246251565e-16,
county_fips and mask_mandate,ContingencySimilarity,0.0,
county_fips and gop_vote_share_2016,ContingencySimilarity,0.010000000000000009,
county_fips and deaths_per_10k,ContingencySimilarity,0.0,
county_fips and COVID_news,ContingencySimilarity,,
county_fips and retail_visit_per_hundred,ContingencySimilarity,0.0,
county_fips and COVID_news_cable,ContingencySimilarity,,
county_fips and urban_population_percentage,ContingencySimilarity,0.0,
county_fips and image_users,ContingencySimilarity,0.010000000000000009,
county_fips and mask_users,ContingencySimilarity,0.01000000000000012,
county_fips and population_density,ContingencySimilarity,0.009999999999999787,
county_fips and week_counter,ContingencySimilarity,0.0,
county_fips and week_counter_log,ContingencySimilarity,1.1102230246251565e-16,
county_fips and population,ContingencySimilarity,0.010000000000000009,
week and mask_user_pct,ContingencySimilarity,0.0,
week and mask_mandate,ContingencySimilarity,2.220446049250313e-16,
week and gop_vote_share_2016,ContingencySimilarity,0.15121212121212113,
week and deaths_per_10k,ContingencySimilarity,0.010101010101010055,
week and COVID_news,ContingencySimilarity,,
week and retail_visit_per_hundred,ContingencySimilarity,0.030000000000000027,
week and COVID_news_cable,ContingencySimilarity,,
week and urban_population_percentage,ContingencySimilarity,0.020050505050504874,
week and image_users,ContingencySimilarity,0.1761111111111111,
week and mask_users,ContingencySimilarity,0.07575757575757591,
week and population_density,ContingencySimilarity,0.17156565656565692,
week and week_counter,ContingencySimilarity,0.0,
week and week_counter_log,ContingencySimilarity,0.0,
week and population,ContingencySimilarity,0.24742424242424255,
mask_user_pct and mask_mandate,ContingencySimilarity,-2.220446049250313e-16,
mask_user_pct and gop_vote_share_2016,CorrelationSimilarity,,
mask_user_pct and deaths_per_10k,CorrelationSimilarity,,
mask_user_pct and COVID_news,CorrelationSimilarity,,
mask_user_pct and retail_visit_per_hundred,CorrelationSimilarity,,
mask_user_pct and COVID_news_cable,CorrelationSimilarity,,
mask_user_pct and urban_population_percentage,CorrelationSimilarity,,
mask_user_pct and image_users,CorrelationSimilarity,,
mask_user_pct and mask_users,CorrelationSimilarity,,
mask_user_pct and population_density,CorrelationSimilarity,,
mask_user_pct and week_counter,CorrelationSimilarity,,
mask_user_pct and week_counter_log,CorrelationSimilarity,,
mask_user_pct and population,CorrelationSimilarity,,
mask_mandate and gop_vote_share_2016,ContingencySimilarity,0.0,
mask_mandate and deaths_per_10k,ContingencySimilarity,0.0,
mask_mandate and COVID_news,ContingencySimilarity,,
mask_mandate and retail_visit_per_hundred,ContingencySimilarity,0.0,
mask_mandate and COVID_news_cable,ContingencySimilarity,,
mask_mandate and urban_population_percentage,ContingencySimilarity,0.0,
mask_mandate and image_users,ContingencySimilarity,0.0,
mask_mandate and mask_users,ContingencySimilarity,0.0,
mask_mandate and population_density,ContingencySimilarity,0.0,
mask_mandate and week_counter,ContingencySimilarity,0.0,
mask_mandate and week_counter_log,ContingencySimilarity,0.0,
mask_mandate and population,ContingencySimilarity,0.0,
gop_vote_share_2016 and deaths_per_10k,CorrelationSimilarity,,
gop_vote_share_2016 and COVID_news,CorrelationSimilarity,,
gop_vote_share_2016 and retail_visit_per_hundred,CorrelationSimilarity,0.8578374559007833,
gop_vote_share_2016 and COVID_news_cable,CorrelationSimilarity,,
gop_vote_share_2016 and urban_population_percentage,CorrelationSimilarity,0.9023439699316739,
gop_vote_share_2016 and image_users,CorrelationSimilarity,0.8901767608802684,
gop_vote_share_2016 and mask_users,CorrelationSimilarity,,
gop_vote_share_2016 and population_density,CorrelationSimilarity,0.8305428017647205,
gop_vote_share_2016 and week_counter,CorrelationSimilarity,,
gop_vote_share_2016 and week_counter_log,CorrelationSimilarity,,
gop_vote_share_2016 and population,CorrelationSimilarity,0.9218276226496257,
deaths_per_10k and COVID_news,CorrelationSimilarity,,
deaths_per_10k and retail_visit_per_hundred,CorrelationSimilarity,,
deaths_per_10k and COVID_news_cable,CorrelationSimilarity,,
deaths_per_10k and urban_population_percentage,CorrelationSimilarity,,
deaths_per_10k and image_users,CorrelationSimilarity,,
deaths_per_10k and mask_users,CorrelationSimilarity,,
deaths_per_10k and population_density,CorrelationSimilarity,,
deaths_per_10k and week_counter,CorrelationSimilarity,,
deaths_per_10k and week_counter_log,CorrelationSimilarity,,
deaths_per_10k and population,CorrelationSimilarity,,
COVID_news and retail_visit_per_hundred,CorrelationSimilarity,,
COVID_news and COVID_news_cable,CorrelationSimilarity,,
COVID_news and urban_population_percentage,CorrelationSimilarity,,
COVID_news and image_users,CorrelationSimilarity,,
COVID_news and mask_users,CorrelationSimilarity,,
COVID_news and population_density,CorrelationSimilarity,,
COVID_news and week_counter,CorrelationSimilarity,,
COVID_news and week_counter_log,CorrelationSimilarity,,
COVID_news and population,CorrelationSimilarity,,
retail_visit_per_hundred and COVID_news_cable,CorrelationSimilarity,,
retail_visit_per_hundred and urban_population_percentage,CorrelationSimilarity,0.8560870809111654,
retail_visit_per_hundred and image_users,CorrelationSimilarity,0.6226252355591346,
retail_visit_per_hundred and mask_users,CorrelationSimilarity,,
retail_visit_per_hundred and population_density,CorrelationSimilarity,0.9505389554895307,
