Column,Metric,Score
state,TVComplement,0.6721105827638179
county_fips,TVComplement,0.06000078019935218
week,TVComplement,0.33668348708542206
mask_user_pct,KSComplement,0.0
mask_mandate,TVComplement,1.499999968679333e-08
gop_vote_share_2016,KSComplement,0.41540201005025124
deaths_per_10k,KSComplement,
COVID_news,KSComplement,0.0
retail_visit_per_hundred,KSComplement,0.3807537688442211
COVID_news_cable,KSComplement,0.005025125628140725
urban_population_percentage,KSComplement,0.6118592964824121
image_users,KSComplement,0.005025125628140725
mask_users,KSComplement,0.0
population_density,KSComplement,0.7133165829145729
week_counter,KSComplement,0.3668341708542714
week_counter_log,KSComplement,0.3668341708542714
population,KSComplement,0.5167587939698493
All,Average Shape,0.27816274439217015
state and county_fips,ContingencySimilarity,0.05999999999999994
state and week,ContingencySimilarity,0.27610552763819096
state and mask_user_pct,ContingencySimilarity,0.015050251256281566
state and mask_mandate,ContingencySimilarity,1.1102230246251565e-16
state and gop_vote_share_2016,ContingencySimilarity,0.2605527638190954
state and deaths_per_10k,ContingencySimilarity,0.010025125628140952
state and COVID_news,ContingencySimilarity,0.0
state and retail_visit_per_hundred,ContingencySimilarity,0.04000000000000015
state and COVID_news_cable,ContingencySimilarity,2.220446049250313e-16
state and urban_population_percentage,ContingencySimilarity,0.1902261306532662
state and image_users,ContingencySimilarity,0.480427135678392
state and mask_users,ContingencySimilarity,1.1102230246251565e-16
state and population_density,ContingencySimilarity,0.336105527638191
state and week_counter,ContingencySimilarity,2.220446049250313e-16
state and week_counter_log,ContingencySimilarity,2.220446049250313e-16
state and population,ContingencySimilarity,0.4714572864321609
county_fips and week,ContingencySimilarity,0.010000000000000009
county_fips and mask_user_pct,ContingencySimilarity,0.0
county_fips and mask_mandate,ContingencySimilarity,1.1102230246251565e-16
county_fips and gop_vote_share_2016,ContingencySimilarity,0.010000000000000009
county_fips and deaths_per_10k,ContingencySimilarity,0.0050000000000001155
county_fips and COVID_news,ContingencySimilarity,1.1102230246251565e-16
county_fips and retail_visit_per_hundred,ContingencySimilarity,0.0050000000000001155
county_fips and COVID_news_cable,ContingencySimilarity,0.0
county_fips and urban_population_percentage,ContingencySimilarity,0.015000000000000013
county_fips and image_users,ContingencySimilarity,0.030000000000000027
county_fips and mask_users,ContingencySimilarity,0.0
county_fips and population_density,ContingencySimilarity,0.030000000000000027
county_fips and week_counter,ContingencySimilarity,1.1102230246251565e-16
county_fips and week_counter_log,ContingencySimilarity,0.0
county_fips and population,ContingencySimilarity,0.030000000000000027
week and mask_user_pct,ContingencySimilarity,2.220446049250313e-16
week and mask_mandate,ContingencySimilarity,1.1102230246251565e-16
week and gop_vote_share_2016,ContingencySimilarity,0.12047738693467347
week and deaths_per_10k,ContingencySimilarity,1.1102230246251565e-16
week and COVID_news,ContingencySimilarity,1.1102230246251565e-16
week and retail_visit_per_hundred,ContingencySimilarity,0.03000000000000025
week and COVID_news_cable,ContingencySimilarity,2.220446049250313e-16
week and urban_population_percentage,ContingencySimilarity,0.10022613065326647
week and image_users,ContingencySimilarity,0.33668341708542715
week and mask_users,ContingencySimilarity,0.0
week and population_density,ContingencySimilarity,0.07522613065326644
week and week_counter,ContingencySimilarity,1.1102230246251565e-16
week and week_counter_log,ContingencySimilarity,0.0
week and population,ContingencySimilarity,0.32155778894472353
mask_user_pct and mask_mandate,ContingencySimilarity,0.0
mask_user_pct and gop_vote_share_2016,CorrelationSimilarity,
mask_user_pct and deaths_per_10k,CorrelationSimilarity,
mask_user_pct and COVID_news,CorrelationSimilarity,
mask_user_pct and retail_visit_per_hundred,CorrelationSimilarity,
mask_user_pct and COVID_news_cable,CorrelationSimilarity,
mask_user_pct and urban_population_percentage,CorrelationSimilarity,
mask_user_pct and image_users,CorrelationSimilarity,
mask_user_pct and mask_users,CorrelationSimilarity,
mask_user_pct and population_density,CorrelationSimilarity,
mask_user_pct and week_counter,CorrelationSimilarity,
mask_user_pct and week_counter_log,CorrelationSimilarity,
mask_user_pct and population,CorrelationSimilarity,
mask_mandate and gop_vote_share_2016,ContingencySimilarity,0.0
mask_mandate and deaths_per_10k,ContingencySimilarity,0.0
mask_mandate and COVID_news,ContingencySimilarity,0.0
mask_mandate and retail_visit_per_hundred,ContingencySimilarity,1.1102230246251565e-16
mask_mandate and COVID_news_cable,ContingencySimilarity,1.1102230246251565e-16
mask_mandate and urban_population_percentage,ContingencySimilarity,0.0
mask_mandate and image_users,ContingencySimilarity,0.0
mask_mandate and mask_users,ContingencySimilarity,0.0
mask_mandate and population_density,ContingencySimilarity,1.1102230246251565e-16
mask_mandate and week_counter,ContingencySimilarity,0.0
mask_mandate and week_counter_log,ContingencySimilarity,1.1102230246251565e-16
mask_mandate and population,ContingencySimilarity,0.0
gop_vote_share_2016 and deaths_per_10k,CorrelationSimilarity,
gop_vote_share_2016 and COVID_news,CorrelationSimilarity,
gop_vote_share_2016 and retail_visit_per_hundred,CorrelationSimilarity,0.6122008852824463
gop_vote_share_2016 and COVID_news_cable,CorrelationSimilarity,
gop_vote_share_2016 and urban_population_percentage,CorrelationSimilarity,0.5056140581772186
gop_vote_share_2016 and image_users,CorrelationSimilarity,0.7734250956371393
gop_vote_share_2016 and mask_users,CorrelationSimilarity,
gop_vote_share_2016 and population_density,CorrelationSimilarity,0.9747280070900325
gop_vote_share_2016 and week_counter,CorrelationSimilarity,
gop_vote_share_2016 and week_counter_log,CorrelationSimilarity,
gop_vote_share_2016 and population,CorrelationSimilarity,0.732173505357909
deaths_per_10k and COVID_news,CorrelationSimilarity,
deaths_per_10k and retail_visit_per_hundred,CorrelationSimilarity,
deaths_per_10k and COVID_news_cable,CorrelationSimilarity,
deaths_per_10k and urban_population_percentage,CorrelationSimilarity,
deaths_per_10k and image_users,CorrelationSimilarity,
deaths_per_10k and mask_users,CorrelationSimilarity,
deaths_per_10k and population_density,CorrelationSimilarity,
deaths_per_10k and week_counter,CorrelationSimilarity,
deaths_per_10k and week_counter_log,CorrelationSimilarity,
deaths_per_10k and population,CorrelationSimilarity,
COVID_news and retail_visit_per_hundred,CorrelationSimilarity,
COVID_news and COVID_news_cable,CorrelationSimilarity,
COVID_news and urban_population_percentage,CorrelationSimilarity,
COVID_news and image_users,CorrelationSimilarity,
COVID_news and mask_users,CorrelationSimilarity,
COVID_news and population_density,CorrelationSimilarity,
COVID_news and week_counter,CorrelationSimilarity,
COVID_news and week_counter_log,CorrelationSimilarity,
COVID_news and population,CorrelationSimilarity,
retail_visit_per_hundred and COVID_news_cable,CorrelationSimilarity,
retail_visit_per_hundred and urban_population_percentage,CorrelationSimilarity,0.9535784623738339
retail_visit_per_hundred and image_users,CorrelationSimilarity,0.9090854904396131
retail_visit_per_hundred and mask_users,CorrelationSimilarity,
retail_visit_per_hundred and population_density,CorrelationSimilarity,0.9252568587268485
retail_visit_per_hundred and week_counter,CorrelationSimilarity,
retail_visit_per_hundred and week_counter_log,CorrelationSimilarity,
retail_visit_per_hundred and population,CorrelationSimilarity,0.8525754214192343
COVID_news_cable and urban_population_percentage,CorrelationSimilarity,
COVID_news_cable and image_users,CorrelationSimilarity,
COVID_news_cable and mask_users,CorrelationSimilarity,
COVID_news_cable and population_density,CorrelationSimilarity,
COVID_news_cable and week_counter,CorrelationSimilarity,
COVID_news_cable and week_counter_log,CorrelationSimilarity,
COVID_news_cable and population,CorrelationSimilarity,
urban_population_percentage and image_users,CorrelationSimilarity,0.8262154908817906
urban_population_percentage and mask_users,CorrelationSimilarity,
urban_population_percentage and population_density,CorrelationSimilarity,0.5917266152672613
urban_population_percentage and week_counter,CorrelationSimilarity,
urban_population_percentage and week_counter_log,CorrelationSimilarity,
urban_population_percentage and population,CorrelationSimilarity,0.9340043744427973
image_users and mask_users,CorrelationSimilarity,
image_users and population_density,CorrelationSimilarity,0.8028572345652886
image_users and week_counter,CorrelationSimilarity,
image_users and week_counter_log,CorrelationSimilarity,
image_users and population,CorrelationSimilarity,0.9098449449973982
mask_users and population_density,CorrelationSimilarity,
