Column,Metric,Score
state,TVComplement,0.5466666852916661
county_fips,TVComplement,0.035000241249937725
week,TVComplement,0.08333338333333085
mask_user_pct,KSComplement,0.0
mask_mandate,TVComplement,2.9999999151542056e-08
gop_vote_share_2016,KSComplement,0.0
deaths_per_10k,KSComplement,0.03472222222222221
COVID_news,KSComplement,0.06944444444444442
retail_visit_per_hundred,KSComplement,0.08833333333333337
COVID_news_cable,KSComplement,0.06944444444444442
urban_population_percentage,KSComplement,0.15388888888888885
image_users,KSComplement,0.0
mask_users,KSComplement,0.0
population_density,KSComplement,0.7216666666666667
week_counter,KSComplement,0.09722222222222221
week_counter_log,KSComplement,0.09722222222222221
population,KSComplement,0.30166666666666664
All,Average Shape,0.13521243829329674
state and county_fips,ContingencySimilarity,0.03499999999999992
state and week,ContingencySimilarity,0.06861111111111096
state and mask_user_pct,ContingencySimilarity,0.0675
state and mask_mandate,ContingencySimilarity,0.0
state and gop_vote_share_2016,ContingencySimilarity,0.13
state and deaths_per_10k,ContingencySimilarity,0.07944444444444454
state and COVID_news,ContingencySimilarity,0.0
state and retail_visit_per_hundred,ContingencySimilarity,0.1694444444444444
state and COVID_news_cable,ContingencySimilarity,0.01388888888888895
state and urban_population_percentage,ContingencySimilarity,0.03194444444444433
state and image_users,ContingencySimilarity,0.20388888888888923
state and mask_users,ContingencySimilarity,1.1102230246251565e-16
state and population_density,ContingencySimilarity,0.3586111111111112
state and week_counter,ContingencySimilarity,0.0
state and week_counter_log,ContingencySimilarity,0.0
state and population,ContingencySimilarity,0.22361111111111132
county_fips and week,ContingencySimilarity,0.019999999999999907
county_fips and mask_user_pct,ContingencySimilarity,0.0050000000000000044
county_fips and mask_mandate,ContingencySimilarity,0.0
county_fips and gop_vote_share_2016,ContingencySimilarity,0.009999999999999898
county_fips and deaths_per_10k,ContingencySimilarity,0.010000000000000009
county_fips and COVID_news,ContingencySimilarity,0.0
county_fips and retail_visit_per_hundred,ContingencySimilarity,0.0050000000000000044
county_fips and COVID_news_cable,ContingencySimilarity,0.004999999999999893
county_fips and urban_population_percentage,ContingencySimilarity,0.0
county_fips and image_users,ContingencySimilarity,0.009999999999999898
county_fips and mask_users,ContingencySimilarity,0.0
county_fips and population_density,ContingencySimilarity,0.019999999999999907
county_fips and week_counter,ContingencySimilarity,0.0
county_fips and week_counter_log,ContingencySimilarity,1.1102230246251565e-16
county_fips and population,ContingencySimilarity,0.02499999999999991
week and mask_user_pct,ContingencySimilarity,0.01388888888888884
week and mask_mandate,ContingencySimilarity,1.1102230246251565e-16
week and gop_vote_share_2016,ContingencySimilarity,0.08333333333333337
week and deaths_per_10k,ContingencySimilarity,0.006944444444444531
week and COVID_news,ContingencySimilarity,0.0
week and retail_visit_per_hundred,ContingencySimilarity,0.08333333333333348
week and COVID_news_cable,ContingencySimilarity,0.01388888888888895
week and urban_population_percentage,ContingencySimilarity,0.08333333333333326
week and image_users,ContingencySimilarity,0.050833333333333286
week and mask_users,ContingencySimilarity,0.0
week and population_density,ContingencySimilarity,0.04972222222222222
week and week_counter,ContingencySimilarity,0.0
week and week_counter_log,ContingencySimilarity,0.0
week and population,ContingencySimilarity,0.08333333333333326
mask_user_pct and mask_mandate,ContingencySimilarity,2.220446049250313e-16
mask_user_pct and gop_vote_share_2016,CorrelationSimilarity,
mask_user_pct and deaths_per_10k,CorrelationSimilarity,
mask_user_pct and COVID_news,CorrelationSimilarity,
mask_user_pct and retail_visit_per_hundred,CorrelationSimilarity,
mask_user_pct and COVID_news_cable,CorrelationSimilarity,
mask_user_pct and urban_population_percentage,CorrelationSimilarity,
mask_user_pct and image_users,CorrelationSimilarity,
mask_user_pct and mask_users,CorrelationSimilarity,
mask_user_pct and population_density,CorrelationSimilarity,
mask_user_pct and week_counter,CorrelationSimilarity,
mask_user_pct and week_counter_log,CorrelationSimilarity,
mask_user_pct and population,CorrelationSimilarity,
mask_mandate and gop_vote_share_2016,ContingencySimilarity,0.0
mask_mandate and deaths_per_10k,ContingencySimilarity,1.1102230246251565e-16
mask_mandate and COVID_news,ContingencySimilarity,1.1102230246251565e-16
mask_mandate and retail_visit_per_hundred,ContingencySimilarity,1.1102230246251565e-16
mask_mandate and COVID_news_cable,ContingencySimilarity,1.1102230246251565e-16
mask_mandate and urban_population_percentage,ContingencySimilarity,-2.220446049250313e-16
mask_mandate and image_users,ContingencySimilarity,0.0
mask_mandate and mask_users,ContingencySimilarity,1.1102230246251565e-16
mask_mandate and population_density,ContingencySimilarity,1.1102230246251565e-16
mask_mandate and week_counter,ContingencySimilarity,0.0
mask_mandate and week_counter_log,ContingencySimilarity,1.1102230246251565e-16
mask_mandate and population,ContingencySimilarity,2.220446049250313e-16
gop_vote_share_2016 and deaths_per_10k,CorrelationSimilarity,
gop_vote_share_2016 and COVID_news,CorrelationSimilarity,
gop_vote_share_2016 and retail_visit_per_hundred,CorrelationSimilarity,0.8497534025735347
gop_vote_share_2016 and COVID_news_cable,CorrelationSimilarity,
gop_vote_share_2016 and urban_population_percentage,CorrelationSimilarity,0.8456981981877166
gop_vote_share_2016 and image_users,CorrelationSimilarity,0.86906622374855
gop_vote_share_2016 and mask_users,CorrelationSimilarity,
gop_vote_share_2016 and population_density,CorrelationSimilarity,0.7599778232056105
gop_vote_share_2016 and week_counter,CorrelationSimilarity,
gop_vote_share_2016 and week_counter_log,CorrelationSimilarity,
gop_vote_share_2016 and population,CorrelationSimilarity,0.9240699946791131
deaths_per_10k and COVID_news,CorrelationSimilarity,
deaths_per_10k and retail_visit_per_hundred,CorrelationSimilarity,
deaths_per_10k and COVID_news_cable,CorrelationSimilarity,
deaths_per_10k and urban_population_percentage,CorrelationSimilarity,
deaths_per_10k and image_users,CorrelationSimilarity,
deaths_per_10k and mask_users,CorrelationSimilarity,
deaths_per_10k and population_density,CorrelationSimilarity,
deaths_per_10k and week_counter,CorrelationSimilarity,
deaths_per_10k and week_counter_log,CorrelationSimilarity,
deaths_per_10k and population,CorrelationSimilarity,
COVID_news and retail_visit_per_hundred,CorrelationSimilarity,
COVID_news and COVID_news_cable,CorrelationSimilarity,
COVID_news and urban_population_percentage,CorrelationSimilarity,
COVID_news and image_users,CorrelationSimilarity,
COVID_news and mask_users,CorrelationSimilarity,
COVID_news and population_density,CorrelationSimilarity,
COVID_news and week_counter,CorrelationSimilarity,
COVID_news and week_counter_log,CorrelationSimilarity,
COVID_news and population,CorrelationSimilarity,
retail_visit_per_hundred and COVID_news_cable,CorrelationSimilarity,
retail_visit_per_hundred and urban_population_percentage,CorrelationSimilarity,0.9532171450766136
retail_visit_per_hundred and image_users,CorrelationSimilarity,0.9754091809779287
retail_visit_per_hundred and mask_users,CorrelationSimilarity,
retail_visit_per_hundred and population_density,CorrelationSimilarity,0.9591252121613095
retail_visit_per_hundred and week_counter,CorrelationSimilarity,
retail_visit_per_hundred and week_counter_log,CorrelationSimilarity,
retail_visit_per_hundred and population,CorrelationSimilarity,0.9807041154063513
COVID_news_cable and urban_population_percentage,CorrelationSimilarity,
COVID_news_cable and image_users,CorrelationSimilarity,
COVID_news_cable and mask_users,CorrelationSimilarity,
COVID_news_cable and population_density,CorrelationSimilarity,
COVID_news_cable and week_counter,CorrelationSimilarity,
COVID_news_cable and week_counter_log,CorrelationSimilarity,
COVID_news_cable and population,CorrelationSimilarity,
urban_population_percentage and image_users,CorrelationSimilarity,0.893942952911666
urban_population_percentage and mask_users,CorrelationSimilarity,
urban_population_percentage and population_density,CorrelationSimilarity,0.9111720715575982
urban_population_percentage and week_counter,CorrelationSimilarity,
urban_population_percentage and week_counter_log,CorrelationSimilarity,
urban_population_percentage and population,CorrelationSimilarity,0.6378671295453624
image_users and mask_users,CorrelationSimilarity,
image_users and population_density,CorrelationSimilarity,0.8773369807272032
image_users and week_counter,CorrelationSimilarity,
image_users and week_counter_log,CorrelationSimilarity,
image_users and population,CorrelationSimilarity,0.5783531382508398
mask_users and population_density,CorrelationSimilarity,
mask_users and week_counter,CorrelationSimilarity,
mask_users and week_counter_log,CorrelationSimilarity,
mask_users and population,CorrelationSimilarity,
population_density and week_counter,CorrelationSimilarity,
population_density and week_counter_log,CorrelationSimilarity,
population_density and population,CorrelationSimilarity,0.9539585335827678
week_counter and week_counter_log,CorrelationSimilarity,
week_counter and population,CorrelationSimilarity,
week_counter_log and population,CorrelationSimilarity,
All Pairs,Average Corr Similarity,0.20452339257736607
