Risk Type,Risk Value,Confidence Interval
Singling Out,0.0,"(0.0, 0.0)"
Linkability,0.0,"(0.0, 0.039203428843270265)"
Inference (subject_id_x),0.0,"(0.0, 1.0)"
Inference (admittime_y),0.0,"(0.0, 1.0)"
Inference (dischtime),0.0,"(0.0, 1.0)"
Inference (Age),0.0,"(0.0, 1.0)"
Inference (gender),0.0,"(0.0, 1.0)"
Inference (ethnicity),0.0,"(0.0, 1.0)"
Inference (insurance),0.0,"(0.0, 1.0)"
Inference (label),0.0,"(0.0, 1.0)"
Inference (dod),0.0,"(0.0, 1.0)"
Inference (charttime),0.0,"(0.0, 1.0)"
Inference (admittime_x),0.0,"(0.0, 1.0)"
Inference (lab_time_from_admit),0.0,"(0.0, 1.0)"
Inference (valuenum),0.0,"(0.0, 0.02006136862354413)"
