Column,Metric,Score
subject_id_x,KSComplement,0.5449999999999999
admittime_y,TVComplement,1.270324712088211e-08
dischtime,TVComplement,1.270324712088211e-08
Age,KSComplement,0.8497281504065041
gender,TVComplement,0.9691488821138211
ethnicity,TVComplement,0.5306554879533812
insurance,TVComplement,0.547473407383309
label,KSComplement,0.6976905487804879
dod,TVComplement,0.6612042695838255
charttime,TVComplement,1.2703244567369154e-08
admittime_x,TVComplement,1.270324712088211e-08
lab_time_from_admit,KSComplement,0.38095782520325194
valuenum,KSComplement,0.8986077235772357
All,Average Shape,0.4677281804472925
subject_id_x and admittime_y,ContingencySimilarity,0.0
subject_id_x and dischtime,ContingencySimilarity,0.0
subject_id_x and Age,CorrelationSimilarity,0.9992171731154748
subject_id_x and gender,ContingencySimilarity,0.2639557926829267
subject_id_x and ethnicity,ContingencySimilarity,0.19677337398373995
subject_id_x and insurance,ContingencySimilarity,0.2589557926829269
subject_id_x and label,CorrelationSimilarity,0.9088435438995215
subject_id_x and dod,ContingencySimilarity,0.08689024390243905
subject_id_x and charttime,ContingencySimilarity,0.0
subject_id_x and admittime_x,ContingencySimilarity,0.0
subject_id_x and lab_time_from_admit,CorrelationSimilarity,0.8958047019023924
subject_id_x and valuenum,CorrelationSimilarity,0.987711115514837
admittime_y and dischtime,ContingencySimilarity,1.1102230246251565e-16
admittime_y and Age,ContingencySimilarity,1.1102230246251565e-16
admittime_y and gender,ContingencySimilarity,1.1102230246251565e-16
admittime_y and ethnicity,ContingencySimilarity,1.1102230246251565e-16
admittime_y and insurance,ContingencySimilarity,0.0
admittime_y and label,ContingencySimilarity,1.1102230246251565e-16
admittime_y and dod,ContingencySimilarity,1.1102230246251565e-16
admittime_y and charttime,ContingencySimilarity,0.0
admittime_y and admittime_x,ContingencySimilarity,1.1102230246251565e-16
admittime_y and lab_time_from_admit,ContingencySimilarity,0.0
admittime_y and valuenum,ContingencySimilarity,1.1102230246251565e-16
dischtime and Age,ContingencySimilarity,1.1102230246251565e-16
dischtime and gender,ContingencySimilarity,1.1102230246251565e-16
dischtime and ethnicity,ContingencySimilarity,1.1102230246251565e-16
dischtime and insurance,ContingencySimilarity,0.0
dischtime and label,ContingencySimilarity,1.1102230246251565e-16
dischtime and dod,ContingencySimilarity,1.1102230246251565e-16
dischtime and charttime,ContingencySimilarity,0.0
dischtime and admittime_x,ContingencySimilarity,1.1102230246251565e-16
dischtime and lab_time_from_admit,ContingencySimilarity,0.0
dischtime and valuenum,ContingencySimilarity,1.1102230246251565e-16
Age and gender,ContingencySimilarity,0.7431935975609756
Age and ethnicity,ContingencySimilarity,0.3108511178861789
Age and insurance,ContingencySimilarity,0.42254065040650424
Age and label,CorrelationSimilarity,0.9889335405822117
Age and dod,ContingencySimilarity,0.48008384146341476
Age and charttime,ContingencySimilarity,0.0
Age and admittime_x,ContingencySimilarity,0.0
Age and lab_time_from_admit,CorrelationSimilarity,0.9894839516210688
Age and valuenum,CorrelationSimilarity,0.8788157381717988
gender and ethnicity,ContingencySimilarity,0.4217149390243903
gender and insurance,ContingencySimilarity,0.541305894308943
gender and label,ContingencySimilarity,0.6976905487804879
gender and dod,ContingencySimilarity,0.6612042682926829
gender and charttime,ContingencySimilarity,0.0
gender and admittime_x,ContingencySimilarity,0.0
gender and lab_time_from_admit,ContingencySimilarity,0.5189862804878049
gender and valuenum,ContingencySimilarity,0.020381097560975725
ethnicity and insurance,ContingencySimilarity,0.24779217479674798
ethnicity and label,ContingencySimilarity,0.3806529471544716
ethnicity and dod,ContingencySimilarity,0.32960111788617885
ethnicity and charttime,ContingencySimilarity,0.0
ethnicity and admittime_x,ContingencySimilarity,0.0
ethnicity and lab_time_from_admit,ContingencySimilarity,0.4101092479674796
ethnicity and valuenum,ContingencySimilarity,0.01525406504065041
insurance and label,ContingencySimilarity,0.44419715447154484
insurance and dod,ContingencySimilarity,0.32935721544715446
insurance and charttime,ContingencySimilarity,0.0
insurance and admittime_x,ContingencySimilarity,0.0
insurance and lab_time_from_admit,ContingencySimilarity,0.388831300813008
insurance and valuenum,ContingencySimilarity,0.005254065040650402
label and dod,ContingencySimilarity,0.635
label and charttime,ContingencySimilarity,0.0
label and admittime_x,ContingencySimilarity,0.0
label and lab_time_from_admit,CorrelationSimilarity,0.9567876066700768
label and valuenum,CorrelationSimilarity,0.9215061374936653
dod and charttime,ContingencySimilarity,0.0
dod and admittime_x,ContingencySimilarity,2.220446049250313e-16
dod and lab_time_from_admit,ContingencySimilarity,0.35033028455284554
dod and valuenum,ContingencySimilarity,0.015190548780487978
charttime and admittime_x,ContingencySimilarity,0.0
charttime and lab_time_from_admit,ContingencySimilarity,0.0
charttime and valuenum,ContingencySimilarity,0.0
admittime_x and lab_time_from_admit,ContingencySimilarity,0.0
admittime_x and valuenum,ContingencySimilarity,1.1102230246251565e-16
lab_time_from_admit and valuenum,CorrelationSimilarity,0.992417276785132
All Pairs,Average Corr Similarity,0.23968741470168964
