Risk Type,Risk Value,Confidence Interval
Singling Out,0.0,"(0.0, 0.0)"
Linkability,0.0,"(0.0, 1.0)"
Inference (response_id),0.0,"(0.0, 1.0)"
Inference (start_date),0.0,"(0.0, 1.0)"
Inference (state),0.0,"(0.0, 1.0)"
Inference (congress_district),0.0,"(0.0, 1.0)"
Inference (county),0.0,"(0.0, 1.0)"
Inference (age),0.0,"(0.0, 1.0)"
Inference (gender),0.0,"(0.0, 1.0)"
Inference (weight),0.0,"(0.0, 1.0)"
Inference (extra_covid_worn_mask),0.0,"(0.0, 1.0)"
Inference (vote_2020),0.0,"(0.0, 1.0)"
Inference (pid7),0.0,"(0.0, 1.0)"
Inference (date),0.0,"(0.0, 1.0)"
Inference (worn),0.0,"(0.0, 1.0)"
