"state","county_fips","week","mask_user_pct","mask_mandate","gop_vote_share_2016","deaths_per_10k","COVID_news","retail_visit_per_hundred","COVID_news_cable","urban_population_percentage","image_users","mask_users","population_density","week_counter","week_counter_log","population"
"Washington","53033","2020-03-01 to 2020-03-07",0.0125,"yes",0.342,0.003,0.05,2.1,0.03,0.85,1200,150,650.5,1,0,261112
"Virginia","51099","2020-03-01 to 2020-03-07",0.005, "no",0.445,0.001,0.025,2.5,0.02,0.75,900,90,420.9,1,0,131000
"Oklahoma","40019","2020-03-01 to 2020-03-07",0.008,"no",0.669,0.002,0.03,1.9,0.025,0.65,1100,80,560.2,1,0,195013
"Arkansas","05079","2020-03-01 to 2020-03-07",0.011,"no",0.589,0.001,0.02,2.2,0.015,0.55,1300,110,460.7,1,0,185821
"Nevada","32003","2020-03-01 to 2020-03-07",0.015,"yes",0.434,0.002,0.04,2.1,0.03,0.85,1400,160,730.9,1,0,291127
"Pennsylvania","42035","2020-03-01 to 2020-03-07",0.007,"no",0.509,0.001,0.025,2.3,0.02,0.75,1200,100,470.9,1,0,167955
"South Carolina","45045","2020-03-01 to 2020-03-07",0.006,"yes",0.546,0.002,0.03,2.2,0.025,0.65,1100,80,530.7,1,0,170880
"Colorado","08123","2020-03-01 to 2020-03-07",0.010,"no",0.442,0.001,0.02,2.0,0.015,0.75,1000,90,600.5,1,0,126882
"Kentucky","21191","2020-03-01 to 2020-03-07",0.009,"no",0.624,0.002,0.025,1.9,0.02,0.60,1300,100,480.9,1,0,183622
"New Hampshire","33015","2020-03-01 to 2020-03-07",0.012,"no",0.460,0.001,0.02,2.4,0.015,0.85,900,80,470.2,1,0,137114
"Delaware","10001","2020-03-01 to 2020-03-07",0.008,"no",0.516,0.001,0.025,2.2,0.02,0.65,1100,90,590.9,1,0,176011
"Michigan","26049","2020-03-01 to 2020-03-07",0.006,"no",0.476,0.002,0.03,1.9,0.025,0.60,1300,80,520.3,1,0,171192
"New York","36029","2020-03-01 to 2020-03-07",0.015,"yes",0.373,0.002,0.04,2.0,0.03,0.85,1400,160,820.5,1,0,271118
"Vermont","50013","2020-03-01 to 2020-03-07",0.011,"yes",0.422,0.001,0.02,2.4,0.015,0.85,1000,90,530.7,1,0,115018
"Wyoming","56021","2020-03-01 to 2020-03-07",0.005,"no",0.669,0.002,0.025,1.8,0.02,0.60,900,80,460.7,1,0,106012
"Maryland","24025","2020-03-01 to 2020-03-07",0.009,"yes",0.463,0.001,0.025,2.1,0.02,0.65,1300,100,640.9,1,0,191125
"Iowa","19049","2020-03-01 to 2020-03-07",0.007,"no",0.514,0.002,0.03,1.9,0.015,0.65,1100,80,580.3,1,0,152104
"Missouri","29159","2020-03-01 to 2020-03-07",0.010,"no",0.565,0.001,0.02,2.0,0.025,0.60,1100,90,500.5,1,0,138980
"Utah","49049","2020-03-01 to 2020-03-07",0.012,"yes",0.456,0.001,0.02,2.2,0.03,0.70,1200,80,600.2,1,0,131221
"Oregon","41027","2020-03-01 to 2020-03-07",0.015,"yes",0.416,0.001,0.03,2.2,0.03,0.85,1000,90,710.9,1,0,201183
"Connecticut","09021","2020-03-01 to 2020-03-07",0.010,"yes",0.475,0.002,0.025,2.1,0.02,0.85,1100,80,580.8,1,0,175120
"Wisconsin","55157","2020-03-01 to 2020-03-07",0.009,"no",0.520,0.002,0.025,1.9,0.015,0.60,1200,90,560.5,1,0,145128
"North Carolina","37101","2020-03-01 to 2020-03-07",0.007,"yes",0.468,0.001,0.025,2.3,0.025,0.60,1300,100,500.8,1,0,163223
"Rhode Island","44027","2020-03-01 to 2020-03-07",0.011,"no",0.460,0.001,0.02,2.2,0.02,0.85,1100,90,590.7,1,0,127023
"Tennessee","47135","2020-03-01 to 2020-03-07",0.009,"no",0.596,0.002,0.03,1.9,0.025,0.60,1200,80,550.9,1,0,136128
"Indiana","18067","2020-03-01 to 2020-03-07",0.008,"no",0.543,0.001,0.025,1.9,0.02,0.60,1200,90,510.9,1,0,139120
"Mississippi","28067","2020-03-01 to 2020-03-07",0.006,"no",0.616,0.002,0.02,1.8,0.02,0.65,900,80,460.7,1,0,128127
"Alabama","01001","2020-03-01 to 2020-03-07",0.009,"yes",0.617,0.001,0.025,2.0,0.03,0.60,1100,100,520.3,1,0,142250
"Nebraska","31155","2020-03-01 to 2020-03-07",0.012,"yes",0.578,0.002,0.03,1.9,0.025,0.65,1100,80,530.8,1,0,121255
"Kansas","20111","2020-03-01 to 2020-03-07",0.009,"no",0.594,0.002,0.02,1.9,0.015,0.65,1100,90,500.9,1,0,129102
"Pennsylvania","42071","2020-03-01 to 2020-03-07",0.007,"yes",0.509,0.001,0.02,2.1,0.02,0.65,1200,100,540.9,1,0,159102
"California","06053","2020-03-01 to 2020-03-07",0.015,"yes",0.392,0.002,0.04,2.1,0.03,0.75,1400,160,690.9,1,0,213150
"Georgia","13033","2020-03-01 to 2020-03-07",0.011,"no",0.498,0.002,0.02,2.2,0.02,0.60,1300,100,550.2,1,0,174191
"West Virginia","54007","2020-03-01 to 2020-03-07",0.005,"yes",0.644,0.002,0.02,1.8,0.015,0.60,900,80,480.1,1,0,121112
"Florida","12091","2020-03-01 to 2020-03-07",0.011,"no",0.482,0.001,0.03,2.2,0.03,0.75,1300,100,620.9,1,0,196100
"Texas","48159","2020-03-01 to 2020-03-07",0.012,"yes",0.466,0.002,0.025,2.0,0.02,0.65,1400,160,570.9,1,0,193134
"Louisiana","22071","2020-03-01 to 2020-03-07",0.008,"yes",0.528,0.001,0.02,2.1,0.025,0.65,1100,90,580.8,1,0,164102
"Arizona","04013","2020-03-01 to 2020-03-07",0.012,"yes",0.492,0.001,0.03,2.2,0.025,0.85,1100,100,590.9,1,0,169102
"Texas","48167","2020-03-01 to 2020-03-07",0.010,"no",0.478,0.001,0.02,2.0,0.02,0.65,1100,90,520.8,1,0,159100
"Oklahoma","40047","2020-03-01 to 2020-03-07",0.007,"no",0.637,0.003,0.025,1.8,0.02,0.60,1100,80,500.9,1,0,143127
"Oklahoma","40057","2020-03-01 to 2020-03-07",0.010,"no",0.620,0.002,0.025,1.9,0.02,0.60,900,90,520.3,1,0,144101
"Arkansas","05131","2020-03-01 to 2020-03-07",0.012,"yes",0.572,0.001,0.02,2.1,0.015,0.60,1100,80,560.9,1,0,136128
"Oklahoma","40063","2020-03-01 to 2020-03-07",0.009,"no",0.611,0.003,0.03,1.8,0.015,0.60,1100,80,510.1,1,0,151110
"Arizona","04049","2020-03-01 to 2020-03-07",0.012,"no",0.480,0.002,0.025,2.0,0.025,0.75,1200,100,600.9,1,0,161163
"Oklahoma","40071","2020-03-01 to 2020-03-07",0.010,"yes",0.625,0.002,0.03,1.9,0.015,0.65,1100,90,540.9,1,0,149100
"Texas","48373","2020-03-01 to 2020-03-07",0.011,"yes",0.467,0.001,0.02,2.1,0.02,0.65,1200,100,620.9,1,0,174160
"Louisiana","22099","2020-03-01 to 2020-03-07",0.010,"no",0.536,0.002,0.03,1.9,0.025,0.65,1100,80,510.1,1,0,141102
"Texas","48175","2020-03-01 to 2020-03-07",0.012,"yes",0.460,0.001,0.02,2.1,0.02,0.65,1100,80,600.9,1,0,151128
"Alabama","1001","2020-03-08 to 2020-03-14",0.007619,"yes",55.9,0.15,0.23,1.26,0.3,72.0,19000,1600,17.1,3,0.477,14120
"Alaska","2013","2020-03-08 to 2020-03-14",0.011905,"no",59.3,0.1,0.25,1.15,0.2,34.0,1200,150,0.8,3,0.477,1230
"Arizona","4013","2020-03-08 to 2020-03-14",0.010238,"yes",49.1,0.08,0.27,1.49,0.31,91.0,121000,11500,47.4,3,0.477,293000
"Arkansas","5037","2020-03-08 to 2020-03-14",0.005368,"no",51.8,0.11,0.22,1.01,0.22,35.0,13000,650,25.9,3,0.477,14120
"California","6019","2020-03-08 to 2020-03-14",0.002905,"yes",25.7,0.06,0.25,0.87,0.29,90.8,162000,5200,1539.3,3,0.477,110000
"Colorado","8069","2020-03-08 to 2020-03-14",0.008115,"yes",43.3,0.09,0.29,1.24,0.33,84.7,23600,2550,89.2,3,0.477,62500
"Connecticut","9089","2020-03-08 to 2020-03-14",0.014839,"yes",45.5,0.12,0.26,1.44,0.28,84.0,4800,1700,710.4,3,0.477,182000
"Delaware","1089","2020-03-08 to 2020-03-14",0.008115,"yes",42.2,0.1,0.23,1.17,0.26,84.9,22000,1300,473.3,3,0.477,98800
"Florida","12001","2020-03-08 to 2020-03-14",0.008115,"yes",49.1,0.07,0.28,1.57,0.31,85.5,39000,4200,128.1,3,0.477,215000
"Georgia","13135","2020-03-08 to 2020-03-14",0.006339,"no",50.7,0.1,0.25,1.32,0.25,85.9,420000,5900,199.1,3,0.477,1080000
"Hawaii","15009","2020-03-08 to 2020-03-14",0.006339,"yes",30.2,0.08,0.28,1.34,0.26,92.0,10400,1800,213.2,3,0.477,142000
"Idaho","16047","2020-03-08 to 2020-03-14",0.007619,"no",59.3,0.09,0.29,1.38,0.22,46.0,11000,1000,22.8,3,0.477,181000
"Illinois","17031","2020-03-08 to 2020-03-14",0.010905,"yes",39.4,0.11,0.25,1.36,0.28,83.9,137000,16400,234.3,3,0.477,1280000
"Indiana","18045","2020-03-08 to 2020-03-14",0.006339,"no",57.1,0.08,0.24,1.44,0.24,73.2,17800,3500,182.4,3,0.477,677000
"Iowa","19069","2020-03-08 to 2020-03-14",0.005368,"no",53.1,0.1,0.29,1.31,0.24,61.0,8400,1400,60.2,3,0.477,159000
"Kansas","20097","2020-03-08 to 2020-03-14",0.005902,"no",53.4,0.11,0.24,1.31,0.27,71.2,15600,2900,34.1,3,0.477,288000
"Kentucky","21069","2020-03-08 to 2020-03-14",0.007619,"no",62.5,0.12,0.27,1.32,0.23,61.4,15600,2800,112.2,3,0.477,448000
"Louisiana","22117","2020-03-08 to 2020-03-14",0.007738,"yes",58.1,0.09,0.23,1.56,0.24,74.9,21200,3200,101.1,3,0.477,483000
"Maine","23009","2020-03-08 to 2020-03-14",0.007619,"yes",44.9,0.1,0.24,1.15,0.25,60.0,18200,1100,42.3,3,0.477,134000
"Maryland","24009","2020-03-08 to 2020-03-14",0.012269,"yes",35.6,0.08,0.27,1.38,0.3,87.7,55000,6000,623.7,3,0.477,607000
"Massachusetts","25027","2020-03-08 to 2020-03-14",0.011273,"yes",33.3,0.1,0.29,1.28,0.32,82.9,210000,4000,852.5,3,0.477,700000
"Michigan","26099","2020-03-08 to 2020-03-14",0.011002,"yes",48.3,0.11,0.23,1.41,0.26,74.0,63000,6700,175.5,3,0.477,1030000
"Minnesota","27153","2020-03-08 to 2020-03-14",0.011905,"yes",44.9,0.07,0.2,1.28,0.29,71.9,18000,4000,70.0,3,0.477,563000
"Mississippi","28157","2020-03-08 to 2020-03-14",0.007619,"no",57.9,0.1,0.22,1.45,0.24,59.3,10300,2000,63.3,3,0.477,295000
"Missouri","29177","2020-03-08 to 2020-03-14",0.007619,"no",47.4,0.11,0.26,1.31,0.25,67.1,27200,4300,93.3,3,0.477,613000
"Montana","30067","2020-03-08 to 2020-03-14",0.008115,"no",56.9,0.08,0.27,1.23,0.27,34.0,15800,1000,7.1,3,0.477,106000
"Nebraska","31149","2020-03-08 to 2020-03-14",0.007619,"no",60.9,0.11,0.25,1.23,0.24,69.8,19300,3600,26.9,3,0.477,193000
"Nevada","32017","2020-03-08 to 2020-03-14",0.010238,"yes",38.1,0.08,0.27,1.63,0.3,86.6,19400,2400,29.1,3,0.477,295000
"New Hampshire","33033","2020-03-08 to 2020-03-14",0.006905,"yes",47.9,0.1,0.25,1.43,0.27,51.4,16200,1500,147.8,3,0.477,141000
"New Jersey","34011","2020-03-08 to 2020-14",0.014839,"yes",41.8,0.13,0.25,1.45,0.29,89.5,156000,18200,1293.0,3,0.477,925000
"New Mexico","35039","2020-03-08 to 2020-03-14",0.008348,"no",40.2,0.09,0.23,1.4,0.23,75.9,16200,2500,17.2,3,0.477,210000
"New York","36029","2020-03-08 to 2020-03-14",0.016905,"yes",39.2,0.15,0.25,1.35,0.32,85.7,330000,46000,420.5,3,0.477,2000000
"North Carolina","37069","2020-03-08 to 2020-03-14",0.008115,"no",49.8,0.11,0.25,1.41,0.25,70.8,39000,5300,219.3,3,0.477,956000
"North Dakota","38039","2020-03-08 to 2020-03-14",0.005902,"no",64.1,0.1,0.2,1.35,0.22,60.9,11800,1100,11.2,3,0.477,75400
"Ohio","39177","2020-03-08 to 2020-03-14",0.010238,"yes",52.1,0.11,0.24,1.43,0.27,78.8,55000,7700,285.2,3,0.477,1190000
"Oklahoma","40077","2020-03-08 to 2020-03-14",0.007619,"no",65.3,0.12,0.25,1.18,0.23,58.2,22400,4200,57.7,3,0.477,395000
"Oregon","41069","2020-03-08 to 2020-03-14",0.013846,"yes",39.1,0.07,0.28,1.49,0.32,79.5,30800,4500,43.8,3,0.477,427000
