"state","county_fips","week","mask_user_pct","mask_mandate","gop_vote_share_2016","deaths_per_10k","COVID_news","retail_visit_per_hundred","COVID_news_cable","urban_population_percentage","image_users","mask_users","population_density","week_counter","week_counter_log","population"
"Oklahoma","40029","2020-03-01 to 2020-03-07",0.005295411,No,63.232343234,0.000024979,0.909090909,5.193948465,0.733788416,83.215698,33,1,102.112431,1,0.0,21191
"Indiana","18045","2020-03-01 to 2020-03-07",0.001532148,No,56.854546458,0.0,0.909090909,4.391850469,0.733788395,51.456323,82,0,188.143654,1,0.0,43382
"Alaska","02230","2020-03-01 to 2020-03-07",0.015206774,No,53.78237427,0.0,0.909090909,2.430449215,0.733788395,40.983321,28,1,1.129824,1,0.0,5632
"Utah","49049","2020-03-01 to 2020-03-07",0.005448926,No,45.56593446,0.0,0.909090909,3.510387458,0.733788395,72.194259,104,1,15.642442,1,0.0,11298
"Kentucky","21139","2020-03-01 to 2020-03-07",0.008381647,No,62.53936245,0.0,0.909090909,3.903509372,0.733788395,50.328599,23,1,34.853287,1,0.0,28489
"Alabama","01027","2020-03-01 to 2020-03-07",0.006548765,No,62.69536595,0.0,0.909090909,3.109739313,0.733788395,54.956458,118,0,52.335964,1,0.0,65117
"Louisiana","22097","2020-03-01 to 2020-03-07",0.001983783,No,58.46723516,0.000030449,0.909090909,2.555479374,0.733788395,75.449369,55,1,77.934468,1,0.0,41193
"Oklahoma","40039","2020-03-01 to 2020-03-07",0.002647943,No,72.34324925,0.0,0.909090909,2.859375,0.733788395,54.115161,31,1,32.151123,1,0.0,23196
"West Virginia","54027","2020-03-01 to 2020-03-07",0.018457256,No,69.37035736,0.0,0.909090909,4.469628056,0.733788395,51.411239,27,0,35.469255,1,0.0,24982
"New Jersey","34021","2020-03-01 to 2020-03-07",0.002181998,No,41.98741439,0.0,0.909090909,2.530357632,0.733788395,91.415281,204,1,1364.23574,1,0.0,55261
"Nebraska","31095","2020-03-01 to 2020-03-07",0.010278707,No,60.48544484,0.0,0.909090909,3.444185317,0.733788395,63.174955,37,0,45.987113,1,0.0,27849
"Tennessee","47167","2020-03-01 to 2020-03-07",0.003362535,No,60.95552899,0.0,0.909090909,3.135143628,0.733788395,55.465381,75,0,85.941366,1,0.0,41947
"Mississippi","28091","2020-03-01 to 2020-03-07",0.012348444,No,57.86556741,0.0,0.909090909,3.006832032,0.733788395,51.142674,24,0,27.879323,1,0.0,18391
"Texas","48445","2020-03-01 to 2020-03-07",0.002384123,No,54.95555581,0.0,0.909090909,2.982983783,0.733788395,73.563131,176,0,37.382865,1,0.0,53787
"Arkansas","05179","2020-03-01 to 2020-03-07",0.006192486,No,60.55744401,0.0,0.909090909,3.373755289,0.733788395,45.562479,23,0,21.944213,1,0.0,22471
"Missouri","29093","2020-03-01 to 2020-03-07",0.003745461,No,56.86168596,0.0,0.909090909,2.624813377,0.733788395,62.295555,62,0,55.134159,1,0.0,35139
"Wisconsin","55139","2020-03-01 to 2020-03-07",0.006445549,No,47.23712363,0.0,0.909090909,3.444185317,0.733788395,64.396061,36,1,98.375165,1,0.0,38176
