"state","county_fips","week","mask_user_pct","mask_mandate","gop_vote_share_2016","deaths_per_10k","COVID_news","retail_visit_per_hundred","COVID_news_cable","urban_population_percentage","image_users","mask_users","population_density","week_counter","week_counter_log","population"
Alabama,1001,2020-03-08 to 2020-03-14,0.03456,"no mandate",0.54678,0.0,0.1234,0.0321,"no cable news",0.45678,123,456,165.78,2,0.30103,123456
Alabama,1001,2020-03-01 to 2020-03-07,0.01101,"no mandate",0.54678,0.0,0.1234,0.0321,"no cable news",0.45678,123,456,165.78,1,0,123456
Alaska,02001,2020-03-08 to 2020-03-14,0.06543,"mask mandate",0.32145,1.2345,0.5678,0.0789,"cable news",0.78910,234,567,2.345,2,0.30103,234567
Alaska,02001,2020-03-01 to 2020-03-07,0.00321,"mask mandate",0.32145,1.2345,0.5678,0.0789,"cable news",0.78910,234,567,2.345,1,0,234567
Arizona,04001,2020-03-08 to 2020-03-14,0.05678,"no mandate",0.45678,0.0,0.3210,0.0987,"cable news",0.21098,345,678,123.45,2,0.30103,345678
Arizona,04001,2020-03-01 to 2020-03-07,0.02134,"no mandate",0.45678,0.0,0.3210,0.0987,"cable news",0.21098,345,678,123.45,1,0,345678
Arkansas,05001,2020-03-08 to 2020-03-14,0.04567,"mask mandate",0.65432,0.0,0.2310,0.0567,"cable news",0.89109,456,789,65.78,2,0.30103,456789
Arkansas,05001,2020-03-01 to 2020-03-07,0.01234,"mask mandate",0.65432,0.0,0.2310,0.0567,"cable news",0.89109,456,789,65.78,1,0,456789
California,06001,2020-03-08 to 2020-03-14,0.07891,"no mandate",0.32145,0.0,0.4567,0.1234,"no cable news",0.10989,567,891,1234.5,2,0.30103,567891
California,06001,2020-03-01 to 2020-03-07,0.03214,"no mandate",0.32145,0.0,0.4567,0.1234,"no cable news",0.10989,567,891,1234.5,1,0,567891
Colorado,08001,2020-03-08 to 2020-03-14,0.06789,"mask mandate",0.54678,1.2345,0.3210,0.0789,"no cable news",0.65432,678,910,23.45,2,0.30103,678910
Colorado,08001,2020-03-01 to 2020-03-07,0.02109,"mask mandate",0.54678,1.2345,0.3210,0.0789,"no cable news",0.65432,678,910,23.45,1,0,678910
Delaware,10001,2020-03-08 to 2020-03-14,0.09876,"mask mandate",0.45678,0.0,0.5678,0.1345,"cable news",0.32145,891,098,165.78,2,0.30103,891098
Delaware,10001,2020-03-01 to 2020-03-07,0.03456,"mask mandate",0.45678,0.0,0.5678,0.1345,"cable news",0.32145,891,098,165.78,1,0,891098
Florida,12001,2020-03-08 to 2020-03-14,0.05678,"no mandate",0.54678,0.0,0.2310,0.1098,"no cable news",0.21098,910,234,1234.5,2,0.30103,910234
Florida,12001,2020-03-01 to 2020-03-07,0.02134,"no mandate",0.54678,0.0,0.2310,0.1098,"no cable news",0.21098,910,234,1234.5,1,0,910234
Georgia,13001,2020-03-08 to 2020-03-14,0.03214,"mask mandate",0.65432,0.0,0.3210,0.1234,"cable news",0.45678,234,567,165.78,2,0.30103,234567
Georgia,13001,2020-03-01 to 2020-03-07,0.01234,"mask mandate",0.65432,0.0,0.3210,0.1234,"cable news",0.45678,234,567,165.78,1,0,234567
Hawaii,15001,2020-03-08 to 2020-03-14,0.10989,"mask mandate",0.32145,3.4567,0.5678,0.1345,"cable news",0.78910,098,910,23.45,2,0.30103,98910
Hawaii,15001,2020-03-01 to 2020-03-07,0.04567,"mask mandate",0.32145,3.4567,0.5678,0.1345,"cable news",0.78910,098,910,23.45,1,0,98910
Idaho,16001,2020-03-08 to 2020-03-14,0.07891,"no mandate",0.45678,0.0,0.1234,0.1098,"no cable news",0.10989,910,234,165.78,2,0.30103,910234
Idaho,16001,2020-03-01 to 2020-03-07,0.03214,"no mandate",0.45678,0.0,0.1234,0.1098,"no cable news",0.10989,910,234,165.78,1,0,910234
Illinois,17001,2020-03-08 to 2020-03-14,0.12345,"mask mandate",0.54678,4.5678,0.3210,0.1234,"cable news",0.65432,234,567,65.78,2,0.30103,234567
Illinois,17001,2020-03-01 to 2020-03-07,0.05678,"mask mandate",0.54678,4.5678,0.3210,0.1234,"cable news",0.65432,234,567,65.78,1,0,234567
Indiana,18001,2020-03-08 to 2020-03-14,0.06789,"no mandate",0.65432,0.0,0.2310,0.0789,"cable news",0.89109,567,891,123.45,2,0.30103,567891
Indiana,18001,2020-03-01 to 2020-03-07,0.02310,"no mandate",0.65432,0.0,0.2310,0.0789,"cable news",0.89109,567,891,123.45,1,0,567891
Iowa,19001,2020-03-08 to 2020-03-14,0.05678,"mask mandate",0.45678,0.0,0.1234,0.0987,"cable news",0.32145,891,098,23.45,2,0.30103,891098
Iowa,19001,2020-03-01 to 2020-03-07,0.01234,"mask mandate",0.45678,0.0,0.1234,0.0987,"cable news",0.32145,891,098,23.45,1,0,891098
Kansas,20001,2020-03-08 to 2020-03-14,0.04567,"no mandate",0.54678,0.0,0.2310,0.1098,"no cable news",0.21098,910,234,1234.5,2,0.30103,910234
