state,county_fips,week,mask_user_pct,mask_mandate,gop_vote_share_2016,deaths_per_10k,COVID_news,retail_visit_per_hundred,COVID_news_cable,urban_population_percentage,image_users,mask_users,population_density,week_counter,week_counter_log,population
Alabama,1003,2020-03-08 to 2020-03-14,0.013612233518716893,No,52.08517817093032,3.134291648132556e-05,0.909090909090909,3.0267581518157565,0.733788395904437,84.55500000000001,178,1,520.3249999999999,2,0.6931471805599453,259013.0
Alabama,12119,2020-03-15 to 2020-03-21,0.0022144758598581197,No,52.75495507232481,0.00011545364522901928,0.909090909090909,3.448247702935533,0.733788395904437,86.89500000000001,212,1,466.055,3,1.0986122886681093,72855.0
Alabama,1015,2020-03-01 to 2020-03-07,0.002936805119403025,No,51.193712134725836,5.679905405375644e-05,0.909090909090909,3.316350649743478,0.733788395904437,67.01,194,1,438.50499999999993,1,0.0,30739.0
Alaska,2996,2020-03-08 to 2020-03-14,0.02057915655941347,No,48.765178915571144,5.022733052656672e-05,0.909090909090909,2.865365738323834,0.733788395904437,96.20500000000001,192,6,1.3938,2,0.6931471805599453,72999.0
Alaska,2993,2020-03-29 to 2020-04-04,0.005137670514573768,No,55.185081835153424,0.0001575008190395958,0.909090909090909,3.1393621158355313,0.733788395904437,85.02500000000001,250,3,1.7751,4,1.3862943611198906,33438.0
Arizona,3903,2020-03-01 to 2020-03-07,0.00215816551471418,No,58.97244047778028,2.0207270451643248e-05,0.909090909090909,3.369169803440641,0.733788395904437,69.2625,178,2,532.2499999999999,1,0.0,404335.0
Arizona,3911,2020-03-15 to 2020-03-21,0.005737425243345383,No,48.525943783391074,5.231549541535553e-05,0.909090909090909,2.783123645641681,0.733788395904437,81.55250000000001,246,6,4.85,3,1.0986122886681093,209972.0
Arizona,3909,2020-04-19 to 2020-04-25,0.012747783806830124,No,47.8167344396317,0.00023553945391555283,0.909090909090909,3.257258051983466,0.733788395904437,88.11,220,10,5.325,5,1.6094379124341007,492213.0
Arkansas,4003,2020-03-08 to 2020-03-14,0.01511043727476766,No,62.32818356218626,4.665155893013344e-05,0.909090909090909,3.1618288932019934,0.733788395904437,84.625,217,3,612.17,2,0.6931471805599453,73753.0
Arkansas,4011,2020-04-05 to 2020-04-11,0.00950829535687093,No,57.67403572195864,0.00014630402142621146,0.909090909090909,3.098291146397224,0.733788395904437,93.8525,225,5,5.01,3,1.0986122886681093,66116.0
Texas, 48481, 2020-03-08 to 2020-03-14, 0.015436, No, 49.8221, 0.000121, 0.909090909090909, 1.4586454922919594, 0.733788395904437, 78.95, 442, 3, 1243.7, 2, 0.6931471805599453, 289523
Texas, 48133, 2020-03-22 to 2020-03-28, 0.020612, No, 59.5536, 0.00011, 0.8816326530612244, 2.5875130333302527, 0.733788395904437, 60.44, 263, 1, 871.5, 5, 1.6094379124341003, 246333
Texas, 48457, 2020-03-08 to 2020-03-14, 0.005189, No, 63.1616, 0.000131, 0.8589452086677878, 3.1310295401019956, 0.733788395904437, 72.12, 252, 1, 236.3, 2, 0.6931471805599453, 55033
California, 6073, 2020-03-15 to 2020-03-21, 0.008285, No, 36.5198, 0.000127, 0.8872786885245901, 2.2469335190682947, 0.733788395904437, 64.99, 108, 2, 1212.3, 3, 1.0986122886681096, 173126
California, 6091, 2020-03-15 to 2020-03-21, 0.003134, No, 47.9306, 0.000121, 0.8824831975150237, 2.995493310733237, 0.733788395904437, 70.1, 234, 1, 124.2, 3, 1.0986122886681096, 63220
California, 6031, 2020-03-01 to 2020-03-07, 0.015955, No, 40.512, 0.000109, 0.8616522424107581, 2.229366403314623, 0.733788395904437, 56.93, 463, 4, 431.3, 1, 0, 43595
California, 6101, 2020-03-15 to 2020-03-21, 0.005631, No, 62.8855, 0.000114, 0.881895730106168, 3.394326111323349, 0.733788395904437, 71.85, 287, 1, 122.4, 3, 1.0986122886681096, 116382
California, 6105, 2020-03-22 to 2020-03-28, 0.013188, No, 50.5169, 0.000128, 0.9053830449967262, 1.7157835125101442, 0.733788395904437, 78.56, 212, 1, 243.6, 4, 1.3862943611198906, 159853
California, 6053, 2020-03-01 to 2020-03-07, 0.001511, No, 51.475, 0.000115, 0.8971522153766178, 1.82168235024272, 0.733788395904437, 80.56, 239, 1, 339.9, 1, 0, 145543
California, 6119, 2020-03-22 to 2020-03-28, 0.01103, No, 62.4454, 0.000126, 0.8853449295780412, 3.0540579522195226, 0.733788395904437, 75.49, 115, 2, 204.2, 4, 1.3862943611198906, 148464
California, 6015, 2020-03-01 to 2020-03-07, 0.006826, No, 34.5793, 0.000127, 0.888252124212975, 2.675623510270732, 0.733788395904437, 59.07, 231, 1, 549.5, 1, 0, 57357
Alabama,1001,2020-03-01 to 2020-03-07,0.012345,"No",51.543215,0.0,0.9090909090909087,4.234550468959615,0.733788395904437,67.13181,234.12345,"2",633.1234,"1",0.0,"346421"
Alaska,2957,2020-03-01 to 2020-03-07,0.003214,"No",52.431257,0.0,0.6215432154321543,2.13835640807092,0.3456543215432154,32.210776,"164","1",1.33219,"1",0.0,"55252"
Arizona,36019,2020-03-01 to 2020-03-07,0.011563,"No",53.21543215432154,0.0,0.8876543215432154,3.56494820174812,0.5632432154321543,89.321568,"754","2",456.782,"1",0.0,"187364"
Arkansas,5005,2020-03-01 to 2020-03-07,0.005432,"No",64.12313215432153,0.0,0.9090909090909087,2.187554321543215,0.733788395904437,87.543218,"320","2",195.365,"1",0.0,"252089"
California,6021,2020-03-01 to 2020-03-07,0.016781,"No",35.12341543215433,0.0,0.8553215432154322,4.173654321543215,0.5324321543215433,42.346588,"356","2",887.6564,"1",0.0,"2651888"
Colorado,8001,2020-03-01 to 2020-03-07,0.009259,"No",51.12356815432154,0.0,0.7654321543215433,3.859348,0.3215681543215432,80.15462,"155","1",378.2954,"1",0.0,"517421"
