"response_id","start_date","state","congress_district","county","age","gender","weight","extra_covid_worn_mask","vote_2020","pid7","date","worn"
1443322,2020-08-15 10:41:40,FL,FL01,90,42,Male,12.3,Yes,Biden,Strong Democrat,2020-08-15,True
2807656,2020-09-24 14:47:29,CA,CA22,78,27,Female,8.9,No,Trump,Weak Republican,2020-09-24,False
1102321,2020-11-05 18:13:57,NY,NY19,55,25,Male,16.5,Yes,Biden,Independent,2020-11-05,True
1406984,2020-06-20 11:46:43,GA,GA04,48,35,Female,5.2,Yes,Trump,Strong Republican,2020-06-20,True
2814798,2020-10-31 20:40:15,TX,TX06,108,17,Male,7.3,Yes,Trump,Weak Republican,2020-10-31,True
1300989,2020-07-14 16:32:11,IL,IL17,45,62,Male,6.7,Yes,Biden,Strong Democrat,2020-07-14,False
2110120,2020-12-01 14:23:53,WA,WA08,79,44,Female,10.9,Yes,Biden,Independent,2020-12-01,True
1935671,2020-09-09 13:39:34,MI,MI05,52,38,Male,3.8,Yes,Trump,Weak Republican,2020-09-09,False
1714394,2020-08-30 16:59:56,OH,OH05,34,32,Male,3.9,No,Biden,Strong Democrat,2020-08-30,False
1279359,2020-07-10 12:15:27,LA,LA01,31,41,Male,6.3,No,Trump,Weak Republican,2020-07-10,True
1413691,2020-06-19 13:15:51,IN,IN04,57,30,Male,14.6,No,Trump,Strong Republican,2020-06-19,True
2986709,2020-11-09 19:25:00,NV,NV04,49,32,Male,4.3,Yes,Biden,Independent,2020-11-09,True
1093515,2020-07-21 15:48:03,WI,WI06,74,47,Female,11.5,No,Biden,Strong Democrat,2020-07-21,False
1622491,2020-09-24 14:20:21,SC,SC07,47,25,Male,15.3,Yes,Trump,Strong Republican,2020-09-24,True
1558467,2020-10-20 12:04:15,IA,IA04,89,44,Female,8.4,Yes,Biden,Independent,2020-10-20,False
1319850,2020-09-29 16:25:36,KY,KY04,62,41,Male,6.2,Yes,Trump,Weak Republican,2020-09-29,True
1424561,2020-09-04 19:07:42,MO,MO05,97,38,Female,17.8,Yes,Biden,Strong Democrat,2020-09-04,False
1792611,2020-08-05 10:03:57,CO,CO03,37,25,Female,6.6,Yes,Biden,Independent,2020-08-05,True
1172318,2020-10-16 12:40:14,TN,TN05,49,53,Male,8.6,Yes,Trump,Weak Republican,2020-10-16,True
1832560,2020-06-24 18:07:36,NJ,NJ07,90,52,Female,7.4,Yes,Biden,Strong Democrat,2020-06-24,True
1994300,2020-07-19 13:08:24,UT,UT02,92,58,Male,20.2,no,Biden,Weak Democrat,2020-07-19,False
