,count,unique,top,freq,mean,std,min,25%,50%,75%,max
subject_id_x,78723.0,,,,10020437.9889867,12041.026420660546,10000032.0,10010867.0,10019003.0,10032725.0,10040025.0
admittime_y,78723,271,2140-01-23 16:19:00,2261,,,,,,,
dischtime,78723,271,2140-02-26 18:15:00,2261,,,,,,,
Age,78723.0,,,,61.13121959274926,13.56463866223975,21.0,53.0,63.0,69.0,91.0
gender,78723,2,M,46614,,,,,,,
ethnicity,78723,14,WHITE,51329,,,,,,,
insurance,78723,3,Other,45624,,,,,,,
label,78723.0,,,,0.13805368189728542,0.34495851112158016,0.0,0.0,0.0,0.0,1.0
dod,78723,32,1970-01-01,40929,,,,,,,
charttime,78723,5031,2115-11-08 13:00:00,57,,,,,,,
admittime_x,78723,271,2140-01-23 16:19:00,2261,,,,,,,
lab_time_from_admit,78723.0,,,,7693.055676231851,9077.037248347231,-1372.0,1032.0,4434.0,11067.5,62815.0
valuenum,78723.0,,,,70.0171414580237,1015.2877738600624,-780.0,3.8,15.3,48.45,169000.0
